1402405389692: 	Battery range is 3199..3999 mV.
	Battery full at 468 LSB .. full at 585 LSB
	Charging at 239 LSB (204 mA).
	BCICTL2=0x021
	battery-info.flags=0x00000003
	bat_compal_e88_chg_state=2
L1CTL_RESET_REQ: FULL!BAT-ADC: 593 632 158 146 1023 537 462 256  
1402405389701: 	Charger at 5400 mV.
1402405389703: 	Battery at 4054 mV.
1402405389703: 	Charging at 135 mA.
1402405389703: 	Battery capacity is 100%.
1402405394824: 	Battery range is 3199..3999 mV.
	Battery full at 468 LSB .. full at 585 LSB
	Charging at 239 LSB (204 mA).
	BCICTL2=0x021
	battery-info.flags=0x00000003
	bat_compal_e88_chg_state=2
BAT-ADC: 593 633 152 138 1023 537 462 256  
1402405394828: 	Charger at 5409 mV.
1402405394831: 	Battery at 4054 mV.
1402405394832: 	Charging at 130 mA.
1402405394834: 	Battery capacity is 100%.
1402405399950: 	Battery range is 3199..3999 mV.
	Battery full at 468 LSB .. full at 585 LSB
	Charging at 239 LSB (204 mA).
	BCICTL2=0x021
	battery-info.flags=0x00000003
	bat_compal_e88_chg_state=2
BAT-ADC: 592 628 169 151 1023 537 462 256  
1402405399954: 	Charger at 5366 mV.
1402405399955: 	Battery at 4047 mV.
1402405399958: 	Charging at 144 mA.
1402405399959: 	Battery capacity is 100%.
1402405399978: 	Battery range is 3199..3999 mV.
	Battery full at 468 LSB .. full at 585 LSB
	Charging at 239 LSB (204 mA).
	BCICTL2=0x021
	battery-info.flags=0x00000003
	bat_compal_e88_chg_state=2
LOST 1890!
1402405399979: LOST 1860!
1402405405072: BAT-ADC: 594 607 162 147 1023 537 462 257  
1402405405073: 	Charger at 5187 mV.
1402405405073: 	Battery at 4061 mV.
1402405405074: 	Charging at 138 mA.
1402405405075: 	Battery capacity is 100%.
1402405408653: 	Battery range is 3199..3999 mV.
	Battery full at 468 LSB .. full at 585 LSB
	Charging at 239 LSB (204 mA).
	BCICTL2=0x021
	battery-info.flags=0x00000003
	bat_compal_e88_chg_state=2
L1CTL_PM_REQ start=0 end=100
1402405408658: PM MEAS: ARFCN=0, 34   dBm at baseband, -103 dBm at RF
1402405408671: PM MEAS: ARFCN=1, 39   dBm at baseband, -98  dBm at RF
1402405408684: PM MEAS: ARFCN=2, 33   dBm at baseband, -105 dBm at RF
1402405408697: PM MEAS: ARFCN=3, 35   dBm at baseband, -102 dBm at RF
1402405408712: PM MEAS: ARFCN=4, 35   dBm at baseband, -102 dBm at RF
1402405408726: PM MEAS: ARFCN=5, 35   dBm at baseband, -102 dBm at RF
1402405408740: PM MEAS: ARFCN=6, 34   dBm at baseband, -103 dBm at RF
1402405408754: PM MEAS: ARFCN=7, 38   dBm at baseband, -100 dBm at RF
1402405408768: PM MEAS: ARFCN=8, 33   dBm at baseband, -104 dBm at RF
1402405408781: PM MEAS: ARFCN=9, 34   dBm at baseband, -103 dBm at RF
1402405408795: PM MEAS: ARFCN=10, 40   dBm at baseband, -97  dBm at RF
1402405408809: PM MEAS: ARFCN=11, 35   dBm at baseband, -102 dBm at RF
1402405408823: PM MEAS: ARFCN=12, 34   dBm at baseband, -103 dBm at RF
1402405408837: PM MEAS: ARFCN=13, 42   dBm at baseband, -95  dBm at RF
1402405408851: PM MEAS: ARFCN=14, 35   dBm at baseband, -102 dBm at RF
1402405408866: PM MEAS: ARFCN=15, 34   dBm at baseband, -103 dBm at RF
1402405408878: PM MEAS: ARFCN=16, 36   dBm at baseband, -101 dBm at RF
1402405408892: PM MEAS: ARFCN=17, 44   dBm at baseband, -93  dBm at RF
1402405408906: PM MEAS: ARFCN=18, 35   dBm at baseband, -102 dBm at RF
1402405408920: PM MEAS: ARFCN=19, 35   dBm at baseband, -102 dBm at RF
1402405408934: PM MEAS: ARFCN=20, 34   dBm at baseband, -103 dBm at RF
1402405408948: PM MEAS: ARFCN=21, 40   dBm at baseband, -97  dBm at RF
1402405408961: PM MEAS: ARFCN=22, 37   dBm at baseband, -100 dBm at RF
1402405408975: PM MEAS: ARFCN=23, 38   dBm at baseband, -100 dBm at RF
1402405408989: PM MEAS: ARFCN=24, 55   dBm at baseband, -83  dBm at RF
1402405409002: PM MEAS: ARFCN=25, 39   dBm at baseband, -99  dBm at RF
